Numer of labeled samples:34214   AUC:0.986
Numer of labeled samples:34275   AUC:0.986
Numer of labeled samples:34283   AUC:0.986
Numer of labeled samples:34302   AUC:0.986
Numer of labeled samples:34300   AUC:0.986
Numer of labeled samples:34291   AUC:0.986
Numer of labeled samples:34289   AUC:0.986
Numer of labeled samples:34301   AUC:0.986
Numer of labeled samples:34252   AUC:0.987
Numer of labeled samples:34345   AUC:0.987
Numer of labeled samples:34341   AUC:0.987
Numer of labeled samples:34299   AUC:0.987
Numer of labeled samples:34329   AUC:0.987
Numer of labeled samples:34324   AUC:0.986
Numer of labeled samples:34344   AUC:0.987
Numer of labeled samples:34316   AUC:0.986
Numer of labeled samples:34320   AUC:0.987
Numer of labeled samples:34344   AUC:0.987
Numer of labeled samples:34337   AUC:0.987
Numer of labeled samples:34326   AUC:0.987
Numer of labeled samples:34329   AUC:0.986
Numer of labeled samples:34343   AUC:0.987
Numer of labeled samples:34468   AUC:0.987
Numer of labeled samples:34337   AUC:0.986
Numer of labeled samples:34396   AUC:0.987
Numer of labeled samples:34409   AUC:0.986
Numer of labeled samples:34407   AUC:0.986
Numer of labeled samples:34357   AUC:0.987
Numer of labeled samples:34362   AUC:0.986
Numer of labeled samples:34386   AUC:0.987
Numer of labeled samples:34360   AUC:0.986
Numer of labeled samples:34332   AUC:0.987
Numer of labeled samples:34406   AUC:0.986
Numer of labeled samples:34348   AUC:0.986
Numer of labeled samples:34305   AUC:0.986
Numer of labeled samples:34379   AUC:0.986
Numer of labeled samples:34407   AUC:0.986
Numer of labeled samples:34381   AUC:0.987
Numer of labeled samples:34450   AUC:0.987
Numer of labeled samples:34433   AUC:0.987
Numer of labeled samples:34472   AUC:0.987
Numer of labeled samples:34430   AUC:0.987
Numer of labeled samples:34479   AUC:0.987
Numer of labeled samples:34433   AUC:0.987
Numer of labeled samples:34475   AUC:0.987
Numer of labeled samples:34454   AUC:0.987
Numer of labeled samples:34476   AUC:0.987
Numer of labeled samples:34459   AUC:0.987
Numer of labeled samples:34486   AUC:0.987
Numer of labeled samples:34460   AUC:0.987
Numer of labeled samples:34476   AUC:0.987
Numer of labeled samples:34472   AUC:0.987
Numer of labeled samples:34486   AUC:0.987
Numer of labeled samples:34446   AUC:0.987
Numer of labeled samples:34496   AUC:0.987
Numer of labeled samples:34478   AUC:0.987
Numer of labeled samples:34479   AUC:0.987
Numer of labeled samples:34461   AUC:0.987
Numer of labeled samples:34489   AUC:0.987
Numer of labeled samples:34483   AUC:0.987
Numer of labeled samples:34501   AUC:0.987
Numer of labeled samples:34480   AUC:0.987
Numer of labeled samples:34500   AUC:0.987
Numer of labeled samples:34472   AUC:0.987
Numer of labeled samples:34500   AUC:0.987
Numer of labeled samples:34467   AUC:0.987
Numer of labeled samples:34482   AUC:0.987
Numer of labeled samples:34460   AUC:0.987
Numer of labeled samples:34481   AUC:0.987
Numer of labeled samples:34467   AUC:0.987
Numer of labeled samples:34496   AUC:0.987
Numer of labeled samples:34466   AUC:0.987
Numer of labeled samples:34498   AUC:0.987
Numer of labeled samples:34482   AUC:0.987
Numer of labeled samples:34510   AUC:0.987
Numer of labeled samples:34494   AUC:0.987
Numer of labeled samples:34500   AUC:0.988
Numer of labeled samples:34478   AUC:0.987
Numer of labeled samples:34501   AUC:0.987
Numer of labeled samples:34466   AUC:0.987
Numer of labeled samples:34507   AUC:0.987
Numer of labeled samples:34496   AUC:0.987
Numer of labeled samples:34499   AUC:0.987
Numer of labeled samples:34483   AUC:0.987
Numer of labeled samples:34503   AUC:0.987
Numer of labeled samples:34474   AUC:0.987
Numer of labeled samples:34508   AUC:0.987
Numer of labeled samples:34479   AUC:0.987
Numer of labeled samples:34489   AUC:0.987
Numer of labeled samples:34470   AUC:0.987
Numer of labeled samples:34525   AUC:0.987
Numer of labeled samples:34481   AUC:0.987
Numer of labeled samples:34517   AUC:0.987
Numer of labeled samples:34490   AUC:0.987
Numer of labeled samples:34494   AUC:0.987
Numer of labeled samples:34507   AUC:0.987
Numer of labeled samples:34506   AUC:0.987
Numer of labeled samples:34469   AUC:0.987
Numer of labeled samples:34525   AUC:0.987
Numer of labeled samples:34481   AUC:0.987
Numer of labeled samples:34508   AUC:0.987
Numer of labeled samples:34519   AUC:0.987
Numer of labeled samples:34513   AUC:0.987
Numer of labeled samples:34465   AUC:0.987
Numer of labeled samples:34522   AUC:0.987
Numer of labeled samples:34504   AUC:0.987
Numer of labeled samples:34535   AUC:0.987
Numer of labeled samples:34514   AUC:0.987
Numer of labeled samples:34531   AUC:0.987
Numer of labeled samples:34483   AUC:0.987
Numer of labeled samples:34525   AUC:0.987
Numer of labeled samples:34505   AUC:0.987
Numer of labeled samples:34534   AUC:0.987
Numer of labeled samples:34494   AUC:0.987
Numer of labeled samples:34537   AUC:0.987
Numer of labeled samples:34504   AUC:0.987
Numer of labeled samples:34539   AUC:0.987
Numer of labeled samples:34501   AUC:0.987
